,Unnamed: 0,label,text,label_prediction
0,0,암 보험금 청구 및 지급 절차,암 진단 보험금을 청구하려면 어떤 서류를 준비해야 하나요?,암 보험금 청구 및
1,1,암 보험금 청구 및 지급 절차,보험금 신청부터 지급까지 전체적인 절차가 궁금합니다.,암 보험금 청구 및
2,2,암 보험금 청구 및 지급 절차,보험금 청구 서류를 제출하면 보통 며칠 안에 지급되나요?,암 보험금 청구 및 지급 절차
3,3,암 보험금 청구 및 지급 절차,보험금 지급 심사 시 현장 조사가 꼭 필요한가요? 어떤 경우에 진행되나요?,암 보험금 청구 및 지급 절차
4,4,암 보험금 청구 및 지급 절차,심사가 길어질 경우 치료비를 먼저 받을 수 있는 가지급 제도가 있나요?,암 보험금 청구
5,5,암 보험금 청구 및 지급 절차,제가 직접 보험금을 청구하기 어려운 상황일 때 가족이 대신 청구할 수 있는 방법이 있나요?,암 보험금 청구 및 지급 절차
6,6,암 보험금 청구 및 지급 절차,"해외에서 암 진단을 받은 경우, 필요한 서류나 청구 절차에 차이가 있나요?",암 보험금 청구 및 지급 절차
7,7,암 보험금 청구 및 지급 절차,보험금 청구는 꼭 지점을 방문해야만 가능한가요? 인터넷이나 앱으로도 신청할 수 있나요?,암 보험금 청구 및 지급 절차
8,8,암 보험금 청구 및 지급 절차,어떤 경우에 암보험금 지급이 거절될 수 있는지 알려주세요.,암 보험 보장
9,9,암 보험금 청구 및 지급 절차,"암 진단 후 치료를 받다가 사망한 경우, 보험금은 누구에게 어떻게 지급되나요?",암 보험금 청구 및 지급 절
10,10,보험료 납입 면제 및 계약 유지,암 진단을 받으면 보험료 납입이 면제되는 조건은 무엇인가요?,보험료 납입 면제 및 계약 유지
11,11,보험료 납입 면제 및 계약 유지,초기암이나 갑상선암 같은 경우에도 보험료 납입이 면제되나요?,보험료 납입
12,12,보험료 납입 면제 및 계약 유지,암 진단 외에 다른 질병이나 상해로도 납입면제 혜택을 받을 수 있나요?,보험료 납입 면제 및 계약 유지
13,13,보험료 납입 면제 및 계약 유지,납입면제 이후에도 기존과 동일한 보장 내용이 계속 유지되는지 궁금합니다.,보험료 납입 면제 및 계약
14,14,보험료 납입 면제 및 계약 유지,일시적으로 보험료 납입이 어려울 때 자동대출납입 기능을 이용할 수 있나요?,보험료 납입 면제 및 계약 유지
15,15,보험료 납입 면제 및 계약 유지,"보험료를 연체하면 바로 계약이 해지되나요, 아니면 유예 기간이 있나요?",보험료 납입 면제 및 계약 유지
16,16,보험료 납입 면제 및 계약 유지,"보험료 납입이 부담스러울 경우, 보장금액을 줄여서 계약을 유지하는 감액완납 제도가 있나요?",보험료 납입 면제 및 계약 유지
17,17,보험료 납입 면제 및 계약 유지,"보험료 미납으로 계약이 실효된 경우, 다시 부활시킬 수 있는 방법과 조건은 어떻게 되나요?",보험료 납입 면제 및 계약
18,18,보험료 납입 면제 및 계약 유지,"보험료 납입면제 사유가 발생했을 때, 어떤 서류를 제출해야 계약이 유지되나요?",보험료 납입 면
19,19,보험료 납입 면제 및 계약 유지,"납입면제가 되면 보험료를 더 이상 내지 않는데, 만기 환급금이나 해지 환급금에는 영향이 없나요?",보험료 납입 면제 및 계약 유지
20,20,암 보험 해지 및 환급,암보험을 중도에 해지하면 해약환급금이 얼마나 나오나요?,암 보험 해지 및 환급
21,21,암 보험 해지 및 환급,"제가 가입한 상품이 해약환급금 미지급형인데, 해지하면 환급금이 전혀 없나요?",암 보험 해지 및 환급
22,22,암 보험 해지 및 환급,"암보험 해지 신청은 어떻게 하고, 필요한 서류는 무엇인가요?",암 보험 해지 및 환급
23,23,암 보험 해지 및 환급,보험료 납입 기간이 끝난 후에 해지해도 환급금을 받을 수 있나요?,암 보험 해지 및 환급
24,24,암 보험 해지 및 환급,계약 해지를 신청하면 환급금은 언제쯤 입금되는지 궁금합니다.,암 보험 해지 및 환급
25,25,암 보험 해지 및 환급,"보험료를 몇 달 못 냈는데, 계약이 자동으로 해지될 수 있나요?",보험료 납입 면제 및 계약 유지
26,26,암 보험 해지 및 환급,"가입한 지 얼마 안 됐는데, 계약을 취소하고 싶어요.",암 보험 해지 및 환급
27,27,암 보험 해지 및 환급,전체 해지 말고 보장 내용을 일부 줄이는 것도 가능한가요?,암 보험 해지 및 환급
28,28,암 보험 해지 및 환급,계약이 해지되면 이전에 납입한 보험료는 모두 돌려받지 못하는 건가요?,암 보험 해지
29,29,암 보험 해지 및 환급,"불완전판매로 계약한 것 같은데, 이 경우 위약금 없이 해지가 가능한가요?",암 보험 해지 및 환급
30,30,암 보험 보장 범위 및 지급 사유,소액암이나 유사암으로 진단받으면 보험금은 얼마나 나오나요?,암 보험 보장
31,31,암 보험 보장 범위 및 지급 사유,가입하고 바로 암 진단 받아도 보장이 되나요? 아니면 기다려야 하는 기간이 있나요?,암 보험 보장 범위 및
32,32,암 보험 보장 범위 및 지급 사유,암 치료 후에 다른 부위로 암이 전이되거나 재발하는 경우에도 보험금을 받을 수 있나요?,암 보험 보장 범위 및 지급 사유
33,33,암 보험 보장 범위 및 지급 사유,제자리암이나 경계성종양도 암보험으로 보장되나요? 일반암과 보장금액이 다른가요?,암 보험 보장 범위 및 지급 사유
34,34,암 보험 보장 범위 및 지급 사유,암 진단을 받으면 앞으로 내야 할 보험료는 면제되는 건가요? 어떤 조건일 때 면제되나요?,보험료 납입 면제 및 계약 유지
35,35,암 보험 보장 범위 및 지급 사유,"가입한 지 1년 안에 암 진단을 받으면 보험금이 줄어든다고 들었는데, 사실인가요?",암 보험 보장 범위 및 지급 사유
36,36,암 보험 보장 범위 및 지급 사유,"첫 번째 암 진단으로 보험금을 받은 후에, 다른 종류의 원발암이 발생하면 또 보장받을 수 있나요?",암 보험 보장 범위 및 지급 사유
37,37,암 보험 보장 범위 및 지급 사유,암 진단은 어떤 기준으로 확정되나요? 조직검사 결과가 반드시 있어야 하나요?,암 보험 보장 범위 및 지급 사유
38,38,암 보험 보장 범위 및 지급 사유,표적항암치료나 면역항암치료 같은 비싼 치료도 보장 범위에 포함되어 있나요?,암 보험 보장 범위 및 지급 사
39,39,암 보험 보장 범위 및 지급 사유,암으로 치료받다가 사망하면 진단비와 사망보험금 모두 지급되나요?,암 보험 보장 범위 및 지급 사
40,0,질문 및 요청,월 보험료는 얼마이고 납입 기간은 어떻게 설정할 수 있나요?,보험료
41,1,질문 및 요청,주요 보장 내용과 가입 한도에 대해 알려주세요.,암 보험 보장 범위 및 지급 사유
42,2,질문 및 요청,가입하고 바로 보장이 시작되나요? 면책기간이나 감액기간이 있는지 궁금해요.,암 보험 보장 범위 및 지급 사유
43,3,질문 및 요청,암 진단 시 보험금 청구 절차와 필요한 서류는 무엇인가요?,암 보험금 청구 및 지급 절
44,4,질문 및 요청,해약환급금 미지급형 상품은 일반 상품과 어떤 점이 다른가요?,보험 종류 소개
45,5,질문 및 요청,"소액암, 유사암, 고액암의 종류와 보장 금액의 차이를 설명해주세요.",암 보험 보장 범위 및 지급 사유
46,6,질문 및 요청,보험료 납입이 어려워지면 계약이 바로 해지되나요?,보험료 납입 면제 및 계약 유지
47,7,질문 및 요청,기존에 다른 질병이 있어도 암보험에 가입할 수 있나요?,암 보험 보장 범위 및 지급 사유
48,8,질문 및 요청,"보험금을 받으면 계약은 소멸되나요, 아니면 계속 유지되나요?",보험료 납입 면제 및 계약 유지
49,9,질문 및 요청,암보험도 연말정산 때 세액공제 혜택을 받을 수 있는지 알려주세요.,질문 및 요청
50,10,다음 단계 안내,"보험 가입을 결정했는데, 다음 절차는 어떻게 되나요?",다음 단계 안내
51,11,다음 단계 안내,암 진단 확정 시 보험금은 어떻게 청구해야 하나요?,암 보험금 청구 및 지급 절차
52,12,다음 단계 안내,보험 가입 신청 후 심사가 완료되기까지 얼마나 걸리나요?,다음 단계 안내
53,13,다음 단계 안내,보험금 청구 시 필요한 서류 목록을 알려주세요.,암 보험금 청구 및 지급 절차
54,14,다음 단계 안내,가입이 완료되면 보험증권은 언제쯤 받아볼 수 있나요?,다음 단계 안내
55,15,다음 단계 안내,보험료 납입이 어려워지면 계약을 변경하거나 유지할 방법이 있나요?,보험료 납입 면제 및 계약
56,16,다음 단계 안내,"보험금을 대신 받아 줄 대리인을 지정하고 싶은데, 절차가 어떻게 되나요?",암 보험금 청구 및 지급 절차
57,17,다음 단계 안내,보험금 청구 서류를 접수하면 지급까지 어떤 단계를 거치나요?,암 보험금 청구 및
58,18,다음 단계 안내,가입 후에 주소나 연락처가 변경되면 어떻게 알려야 하나요?,고객 정보
59,19,다음 단계 안내,보험 계약을 취소하고 싶을 경우 어떻게 해야 하는지 알려주세요.,암 보험 해지 및 환급
60,20,마무리 및 감사 인사,자세한 설명 정말 감사합니다.,마무리 및 감사 인사
61,21,마무리 및 감사 인사,알려주신 내용 바탕으로 좀 더 고민해보고 다시 문의드릴게요.,마무리 및 감사 인사
62,22,마무리 및 감사 인사,"네, 덕분에 궁금한 점이 많이 해결되었어요. 고맙습니다.",마무리 및 감사 인사
63,23,마무리 및 감사 인사,"우선 여기까지 듣고, 가족과 상의한 후에 다시 연락드리겠습니다.",다음 단계 안내
64,24,마무리 및 감사 인사,"오늘은 이만하면 충분한 것 같아요, 상담 감사했습니다.",마무리 및 감사 인사
65,25,마무리 및 감사 인사,"네, 이제 충분히 이해했습니다. 감사합니다.",마무리 및 감사 인사
66,26,마무리 및 감사 인사,"친절하게 답변해주셔서 감사합니다, 나중에 또 궁금한 게 생기면 물어볼게요.",마무리 및 감사 인사
67,27,마무리 및 감사 인사,"더 궁금한 점은 없는 것 같습니다, 수고하셨습니다.",마무리 및 감사 인사
68,28,마무리 및 감사 인사,"늦은 시간까지 상담해주셔서 감사해요, 큰 도움이 됐습니다.",마무리 및 감사 인사
69,29,마무리 및 감사 인사,보내주신 자료랑 같이 검토해보고 긍정적으로 생각해보겠습니다.,마무리 및 감사 인사
70,30,인사 및 대화 시작,"안녕하세요, 암보험에 대해 문의드립니다.",인사 및 대화 시작
71,31,인사 및 대화 시작,암보험 가입 상담을 받고 싶어요.,보험 종류 소개
72,32,인사 및 대화 시작,암보험에 대해 알아보고 있습니다.,범위 및 지급 사유
73,33,인사 및 대화 시작,상담 시작하고 싶습니다.,인사 및 대화 시작
74,34,인사 및 대화 시작,안녕하세요.,인사 및 대화 시작
75,35,인사 및 대화 시작,암보험 가입하려고요.,보험 종류 소개
76,36,인사 및 대화 시작,챗봇 상담 시작,인사 및 대화 시작
77,37,인사 및 대화 시작,암보험 상품 추천받을 수 있을까요?,보험 종류 소개
78,38,인사 및 대화 시작,암보험 관련해서 궁금한 게 있습니다.,질문 및 요청
79,39,인사 및 대화 시작,처음으로 암보험 가입하는데요.,보험 종류 소개
80,40,확인,암 진단 확정 시 보험금 청구를 위해 진단서 원본이 꼭 필요한지 확인해주세요.,암 보험금 청구 및 지급 절차
81,41,확인,보험금 청구 서류를 접수하면 보통 3영업일 이내에 지급되는 것이 맞나요?,암 보험금 청구 및 지급 절차
82,42,확인,지정대리청구인은 피보험자의 배우자나 3촌 이내 친족만 지정할 수 있는지 확인하고 싶습니다.,암 보험금 청구 및 지급 절
83,43,확인,이 암보험에서 보장하는 '소액암'의 종류에는 어떤 것들이 있는지 다시 한번 확인하고 싶어요.,암 보험 보장 범위 및 지급
84,44,확인,"제 보험료가 정상적으로 납입되고 있는지, 계약이 잘 유지되고 있는지 확인해주세요.",보험료 납입 면제 및 계약 유지
85,45,확인,암 보장 개시일은 가입일로부터 90일이 지난 다음 날부터 시작되는 것이 맞는지 확인 부탁드립니다.,암 보험 보장 범위 및 지급 사유
86,46,확인,현재 제 보험 계약의 보험금 수익자가 누구로 지정되어 있는지 확인 가능한가요?,고객 정보
87,47,확인,약관에 명시된 보험금을 지급하지 않는 사유에 대해 구체적으로 확인하고 싶습니다.,암 보험 보장 범위 및 지급 사유
88,48,확인,주소나 연락처가 변경되면 반드시 별도로 통지해야 효력이 발생하는지 확인해 주세요.,고객 정보
89,49,확인,납입한 보험료에 대해 연말정산 시 보장성보험 세액공제를 받을 수 있는지 확인해주세요.,보험료
90,50,추가 상담 및 조언,전화로 더 자세한 상담을 받을 수 있을까요?,추가 상담 및
91,51,추가 상담 및 조언,"내용이 너무 어려운데, 제 상황에 맞게 쉽게 설명해주실 수 있나요?",질문 및 요청
92,52,추가 상담 및 조언,"가까운 지점에 방문해서 상담받고 싶은데, 위치 좀 알려주세요.",및 계약 유지
93,53,추가 상담 및 조언,"보험 가입을 진행하고 싶은데, 다음 절차는 어떻게 되나요?",다음 단계 안내
94,54,추가 상담 및 조언,상품설명서나 약관 전체 내용을 이메일로 받아볼 수 있을까요?,질문 및 요청
95,55,추가 상담 및 조언,가입하려면 어떤 서류들을 준비해야 하는지 알려주세요.,질문 및 요청
96,56,추가 상담 및 조언,다른 상품과 비교해서 더 자세한 설명을 듣고 싶습니다.,추가 상담 및 조언
97,57,추가 상담 및 조언,전문 설계사와 직접 만나서 상담받는 것도 가능한가요?,추가 상담 및 조언
98,58,추가 상담 및 조언,"약관에 나오는 용어들이 너무 어려운데, 용어 해설집 같은 자료가 있나요?",질문 및 요청
99,59,추가 상담 및 조언,나중에 보험금을 청구할 때 절차는 어떻게 되는지 미리 알아보고 싶어요.,암 보험금 청구 및 지급 절차
100,0,보험 종류 소개,"갱신형 암보험과 비갱신형 암보험은 어떤 차이가 있고, 저한테는 어떤 게 더 유리할까요?",보험 종류 소개
101,1,보험 종류 소개,보험료가 저렴한 순수보장형과 만기 시 환급금이 있는 만기환급형 중에 고민돼요.,보험 종류 소개
102,2,보험 종류 소개,"일반암, 소액암, 유사암은 보장 금액이나 범위가 어떻게 다른가요?",암 보험 보장 범위 및 지급 사유
103,3,보험 종류 소개,특정 고액암에 대해서만 보장을 강화하는 특약이나 상품도 있나요?,암 보험 보장 범위 및 지급 사
104,4,보험 종류 소개,"암 진단 후에 보험료 납입이 면제되는 상품이 있다고 들었는데, 모든 암보험이 다 그런가요?",보험료 납입 면제
105,5,보험 종류 소개,한번 암 진단을 받고 나서 암이 재발하거나 전이될 경우에도 보장받을 수 있는 재진단암 보험에 대해 설명해주세요.,보험 종류 소개
106,6,보험 종류 소개,"부모님께서 고혈압 약을 드시는데, 유병자도 가입할 수 있는 간편심사 암보험 종류가 있나요?",보험 종류 소개
107,7,보험 종류 소개,"암 진단비만 보장하는 상품과, 수술비나 입원비까지 보장하는 종합적인 상품의 차이점을 알고 싶어요.",보험 종류 소개
108,8,보험 종류 소개,요즘 많이 이야기하는 표적항암치료나 면역항암치료 같은 신규 치료법을 보장하는 암보험도 있는지 궁금합니다.,암 보험 보장 범위 및 지급 사유
109,9,보험 종류 소개,"기존에 종합보험이 있는데, 암 보장만 따로 강화하고 싶어요. 암보험만 단독으로 가입할 수 있는 상품이 있나요?",
110,10,고객 정보,제 나이가 보험료에 어떤 영향을 미치는지 궁금합니다.,보험료
111,11,고객 정보,고혈압 약을 복용 중인데 암보험에 가입할 수 있나요?,질문 및 요청
112,12,고객 정보,"가족 중에 암 환자가 있었는데, 이 경우 보험료가 오르거나 가입이 제한되나요?",보험료
113,13,고객 정보,보험 가입을 위해 별도로 건강검진을 받아야 하는지 알고 싶습니다.,질문 및 요청
114,14,고객 정보,"과거에 병원에서 치료받은 기록이 있는데, 어디까지 알려야 하나요?",고객 정보
115,15,고객 정보,현재 흡연자인데 보험 가입 시 불이익이 있는지 궁금합니다.,고객 정보
116,16,고객 정보,제 직업이 가입 심사에 영향을 주나요? 위험 직군이면 가입이 어려운가요?,질문 및 요청
117,17,고객 정보,암보험에 가입할 수 있는 나이 제한이 따로 있나요?,질문 및 요청
118,18,고객 정보,보험 가입 후에 직업이 바뀌면 꼭 알려야 하나요?,고객 정보
119,19,고객 정보,"배우자랑 같이 가입하고 싶은데, 필요한 서류가 다른가요?",고객 정보
120,20,보험료,대 남성 기준으로 가입하면 월 보험료는 대략 어느 정도인가요?,보험료
121,21,보험료,갱신형과 비갱신형의 초기 보험료와 총 납입 보험료 차이에 대해 설명해주세요.,보험료
122,22,보험료,가입 이후에 보험료가 변동될 수도 있나요? 변동된다면 어떤 경우에 오르나요?,보험료
123,23,보험료,보험료 납입기간을 20년으로 설정했을 때와 30년으로 설정했을 때 월 보험료 차이가 어떻게 되나요?,보험료
124,24,보험료,과거 병력이 있거나 현재 복용 중인 약이 있으면 보험료가 할증되나요?,보험료
125,25,보험료,건강 상태가 좋거나 비흡연자인 경우 보험료 할인을 받을 수 있는 제도가 있나요?,보험료
126,26,보험료,"암 진단금을 1억으로 설정할 경우 월 보험료는 얼마이고, 5천만원으로 낮추면 얼마나 줄어드나요?",보험료
127,27,보험료,만기 시 환급금이 없는 순수보장형 상품이 보험료가 더 저렴한가요?,보험료
128,28,보험료,제 직업이 보험료 산정에 영향을 미치나요? 위험 직군으로 분류되면 보험료가 더 비싸지나요?,보험료
129,29,보험료,"기본 암 보장 외에 뇌, 심장 관련 특약을 추가하면 보험료가 얼마나 추가되나요?",보험료
